(u'Tuesday_22', 65, 4.0701314965560424)
(u'Sunday_19', 45, 2.817783343769568)
(u'Wednesday_22', 40, 2.504696305572949)
(u'Tuesday_23', 39, 2.4420788979336256)
(u'Wednesday_8', 35, 2.1916092673763305)
(u'Sunday_20', 34, 2.128991859737007)
(u'Thursday_9', 31, 1.9411396368190357)
(u'Tuesday_8', 31, 1.9411396368190357)
(u'Thursday_23', 29, 1.8159048215403883)
(u'Thursday_22', 28, 1.7532874139010644)
(u'Thursday_8', 24, 1.5028177833437695)
(u'Wednesday_23', 24, 1.5028177833437695)
(u'Sunday_21', 22, 1.3775829680651221)
(u'Sunday_18', 17, 1.0644959298685035)
(u'Thursday_6', 16, 1.0018785222291797)
(u'Sunday_22', 13, 0.8140262993112084)
(u'Thursday_11', 13, 0.8140262993112084)
(u'Wednesday_9', 12, 0.7514088916718847)
(u'Sunday_9', 11, 0.6887914840325611)
(u'Tuesday_9', 11, 0.6887914840325611)
(u'Wednesday_19', 11, 0.6887914840325611)
(u'Sunday_16', 10, 0.6261740763932373)
(u'Thursday_12', 10, 0.6261740763932373)
(u'Tuesday_19', 10, 0.6261740763932373)
(u'Thursday_19', 9, 0.5635566687539135)
(u'Wednesday_20', 9, 0.5635566687539135)
(u'Sunday_8', 8, 0.5009392611145899)
(u'Wednesday_10', 8, 0.5009392611145899)
(u'Wednesday_21', 8, 0.5009392611145899)
(u'Thursday_13', 7, 0.4383218534752661)
(u'Tuesday_20', 7, 0.4383218534752661)
(u'Tuesday_21', 7, 0.4383218534752661)
(u'Wednesday_15', 6, 0.37570444583594237)
(u'Thursday_16', 5, 0.31308703819661865)
(u'Thursday_18', 4, 0.25046963055729493)
(u'Thursday_21', 4, 0.25046963055729493)
(u'Wednesday_14', 3, 0.18785222291797118)
(u'Wednesday_16', 2, 0.12523481527864747)
(u'Wednesday_18', 2, 0.12523481527864747)
(u'Sunday_17', 1, 0.06261740763932373)
(u'Sunday_23', 1, 0.06261740763932373)
(u'Thursday_10', 1, 0.06261740763932373)
(u'Thursday_14', 1, 0.06261740763932373)
(u'Thursday_20', 1, 0.06261740763932373)
(u'Thursday_7', 1, 0.06261740763932373)
(u'Tuesday_10', 1, 0.06261740763932373)
(u'Tuesday_12', 1, 0.06261740763932373)
(u'Tuesday_13', 1, 0.06261740763932373)
(u'Tuesday_15', 1, 0.06261740763932373)
(u'Tuesday_7', 1, 0.06261740763932373)
(u'Wednesday_11', 1, 0.06261740763932373)
(u'Wednesday_17', 1, 0.06261740763932373)
(u'Wednesday_6', 1, 0.06261740763932373)
